acreage,address,category,crops,date,email,name,phone,processed_products,profile,short_description,website
32 Acres,"219 Mill Street
Rockport, ME 04856, United States",Medicinal Herb Garden and Apothecary | ,"Herbs And Spices,Medicinal Herbs",20151023,,Avena Botanicals,2,,"Avena Botanicals Herbal Apothecary offers a variety of hand-crafted herbal remedies for supporting the health and well being of our customers.  Most of our products are made with herbs grown and hand-harvested from our own Biodynamic® garden situated on a 32-acre farm in Rockport, Maine.  Avena was founded in 1985 by herbalist and gardener Deb Soule.  In 1995, Avena moved to its current location where Deb was able to design and plant a large organic and Biodynamic herb garden. This beautiful three-acre garden provides an abundance of certified Biodynamic herbs for the apothecary, a classroom for students, nectar-producing flowers for pollinators and a peaceful place for visitors to renew their spirit and find healing in nature.
Cropped: 3 Acres
Total Acreage: 32 Acres","
           “Healing Begins in the Garden”
           
         ",www.avenabotanicals.com/
,"18200 Lewis Rogers Lane
Newberg, OR 97132, United States",,"Fruit,Grapes For Wine",20151024,,Brick House Vineyards,1,"Wine,Wine Red,Wine Rosé,Wine White",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
24 Acres,"9360 SE Eola Hills Rd.
Amity, OR 97101, United States",Biodynamic | Vineyard | Winery | ,"Fruit,Grapes For Wine",20151024,,Brooks Vineyard,9,,"Brooks Winery came to life in 1998, after founder Jimi Brooks had spent time in France, where he worked with wineries who were using biodynamic farming principles in their vineyards. Seeing parallels between the use of these processes and the resulting healthier, better-tasting fruit, so when he returned to Oregon and started his own label, the awareness that everything growing  in the ground is a reflection of everything else in its environment became a key element of his approach.
This sense of vineyard transparency has been at the heart of the Brooks program from the beginning. “If the vine is happy, the grapes simply taste better.” Jimi once said, “I believe that farming in this way, by keeping the earth alive and the ecosystem intact, is the only way to really achieve that concept of terroir.”
The benefits of biodynamic farming are particularly noticeable in the production of our primary grape varieties, Riesling and Pinot Noir. We believe that, more than with virtually any other cultivar, these varieties have the ability to reflect the terroir in which they were grown to an extent that it would be a disservice to them to use any other farming method that would intrude on what the earth provides.
Although the Brooks estate vineyard was not Demeter certified until 2012, the practices have been in place since 2002. These vines were planted between 1973 and 1977, making them among the oldest vines in the Willamette Valley. 10 acres of vines in this vineyard are planted on their own rootstock, increasing the essence of purity in the fruit harvested from this site.
Life too, like a vineyard, has a cycle. In 2004, Jimi passed away at age 38, leaving his young son Pascal as sole owner of Brooks Wine. Winemaker friends who’d gathered at his memorial service compelled the family to carry on the winery and Jimi’s philosophy. A dozen of Oregon’s top winemakers saw the 2004 vintage through, and in 2005, Chris Williams (Jimi’s assistant) became Head Winemaker; Jimi’s sister, Janie Brooks Heuck, took over the role of Managing Director, completing the circle of Brooks’ core values of friendship, family and spirit. That these values are reflected in the way our farming is handled is no surprise; our appreciation of the interrelatedness of everything in life is why we are so attuned to the precepts of Demeter farming.
Over the past few years, our Ara Riesling has been featured at a dinner at The White House, and our wines have won accolades in all corners of the wine world. Jimi Brooks’ story figured prominently in “American Wine Story,” a film about inspiration and compulsion that was well received at film and wine festivals around the country. We have a new winemaking facility that will be in place in time for the 2014 harvest, and we’re been able to increase the number of outside vineyards we’re able to source grape from, and our relationship with these growers is such that they allow us to be involved in the farming decision throughout the process.
The Brooks tasting room is open all year-round, so we look forward to your stopping by when you’re in the area.
Cropped: 19 Acres
Total Acreage: 24 Acres","
           “If the vine is happy, the grapes simply taste better. I believe that farming in this way, by keeping the earth alive and the ecosystem intact, is the only way to really achieve that concept of terroir.”
           ",www.brookswine.com/
80 Acres,"5511 East Valley Road
Alfred Station, NY 14803, United States",,"Fruit,Apples,Cherries,Peaches,Pears,Plums,Vegetables,Beetroot,Broccoli,Cucumbers,Lettuce,Melons,Peas Green,Pumpkin,Radishes Red,Turnips,Legumes,Beans,Fodder And Grassland,Fodder Crops,Other Crops,Ornamental Plants,Other Annual Crops",20170525,,Yellow Barn Farm,5,,"When we started Yellow Barn Biodynamic Farm our goal was to feed our kids the purest food possible. Sustainable agriculture had been the intersections of our passions and careers importing and distributing organic foods, however we'd never been farmers.
Our rural home was on 20 acres of land originally part of a larger farm established in the 1830s and abandoned following WWII. We have added neighboring acreage that was part of the original farm and today our family farm totals 80 acres located in New York State in Allegany county. We have an abundance of long forgotten old growth apple trees where we have cleared brush and thorns (multi floral rose, grrrrr!) to give them light and space. We've planted a small orchard with more apples, as well as peaches, cherries, apricots, and pears. We're in the process of establishing a vineyard. Recently we began to wild forage ramps and deliver to farm to fork restaurants in Manhattan and Brooklyn and leading retailers like Wegmans. This year we started to inoculate bolts of beech logs with mycelium to grow mushrooms. We have chickens and ducks and turkeys. We have raised pigs. We're learning more about cows and see their addition to the farm in the near future.
All parents worry about what they feed their kids. We felt a powerful impulse to nurture the land with and for them. We wanted to better understand what it meant to farm sustainably. We are learning as we go as a family, and increasingly our three children are leading projects around the farm. We participate in farmer trainings locally and attend Biodynamic Conferences to increase our understanding of farming to the Demeter standard. Sometimes it's difficult to separate play from work at the Yellow Barn Farm. We spend time together as a family, and we know our farmer!
Cropped: 5 Acres
Total Acreage: 80 Acres","
           “""All parents worry about what they feed their kids. We felt a powerful impulse to nurture the land with and for them.""”
           ",
52 Acres,"8707 Art Road
Cedar Grove, NC 27231, United States",Farm | ,"Fruit,Apples,Blackberries,Blueberries,Figs,Grapes,Grapes Table,Persimmon,Plums,Raspberries,Strawberries,Vegetables,Artichokes,Asparagus,Broccoli,Cucumbers,Garlic,Kale,Melons,Pepper Capsicum,Potatoes,Radishes Red,Savoy Cabbage,Silver Beet,Sweet Potatoes,Tomatoes,Turnips,Watermelons,Herbs And Spices,Parsley,Legumes,Beans,Other Crops,Mushrooms,Other Annual Crops",20150105,,Whitted Bowers Farm,8,,"Whitted Bowers Farm is a 52 acre Biodynamic® family farm located in the Piedmont region of North Carolina.  The farm is approximately 20 miles north of Chapel Hill and Durham.  We grow a wide variety of crops and specialize in heirloom small fruit and specialty vegetables.  We sell our produce at the Carrboro and Eno River Farmers' Markets as well as to local restaurants and herbalists.  In May, we open the farm up for U-pick strawberries and blueberries.
Cropped: 20 Acres
Total Acreage: 52 Acres","
           “The earth laughs in flowers.”
           ",www.whittedbowersfarm.com
,"75976 Booth Kelly Camp Road
Dorena, OR 97434, United States",,"Fruit,Apples,Blueberries,Cherries,Pears,Raspberries,Vegetables,Asparagus,Beetroot,Broccoli,Cabbage,Carrots,Celery,Cucumbers,Florence Fennel,Garlic,Jerusalem Artichokes,Kale,Lettuce,Melons,Onions,Parsnips,Pepper Capsicum,Potatoes,Radishes Red,Shallots,Spinach,Tomatoes,Turnips,Watermelons,Herbs And Spices,Basil,Dill,Mint,Mustard,Sorrel,Legumes,Beans,Peas Green,Grains,Buckwheat,Oats,Sweet Corn,Wheat Winter,Fodder And Grassland,Fodder Crops,Grassland,Other Crops,Flowers,Other Annual Crops",20170519,,Ruby and Amber's Organic Oasis,7,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"10 White Birch Road
Copake, NY 12516, United States",,"Seeds And Seedlings,Flower Seeds,Seeds,Vegetable Seeds",20170524,Turtle@TurtleTreeSeed.org ,Turtle Tree Seed,1,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",turtletreeseed.org/
240 Acres,"6107 Highway 133
Carbondale, CO 81623, USA",Compost Producer | Biodynamic | Agriculture Education | ,"Vegetables,Broccoli,Brussels Sprouts,Cabbage,Carrots,Celery,Garlic,Kale,Kohlrabi,Leek,Onions,Parsnips,Radishes Red,Rhubarb,Romanesco,Spinach,Turnips,Herbs And Spices,Lemon Balm,Mustard,Grains,Rye,Fodder And Grassland,Fodder Crops,Nature Conservation Area,Rough Grazing",20170509,info@sustainablesettings.org,Sustainable Settings,6,,"Sustainable Settings’ Whole Systems Learning Center is an unprecedented effort in the inter-mountain West to provide an experiential learning environment for the cultivation of a sustainable future. By utilizing place as pedagogy and harvesting nature’s intelligence, the whole systems learning center offers a rich and dynamic context in which people are inspired to embrace integrated solutions for sustainable development.
Core Elements
The core elements of the whole systems learning center form a foundation from which learners of all ages experience and develop ways to live more sustainably.
These core elements are:
Sustainable Agriculture
Green Development
Micro-Enterprise
Land Stewardship
Art for Daily Life
Education & Ecological Literacy
Total Acreage: 240 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.sustainablesettings.org
25 Acres,"1421 Chiquita Road
Healdsburg, CA 95448, United States",Biodynamic | Farm | Vineyard | ,"Fruit,Grapes For Wine",20170515,info@pumasprings.com,Puma Springs Vineyards,1,,"Tony Crabb and Barbara Grasseschi were ready for a change when they purchased a somewhat neglected vineyard just north of Healdsburg, California in 2000.
Tony, an English born and educated engineer, enjoyed a productive career that took him from England to South Africa to Scotland and finally to California’s Silicon Valley. After starting his own companies and working for other major corporations, the life of a vineyard owner grew more appealing. Meanwhile, his wife Barbara, a sales and marketing executive, was growing weary of airports, rental cars and hotels. Working in a vineyard, raising goats and letting the weather dictate her schedule rather than the airlines held more interest for Barbara every day.
Biodiversity
Promoting biodiversity is as important to us as producing premium quality grapes. When we give to the land, the land gives back to us. We provide nesting sites to attract raptors that reduce the number of gophers and other pests that can damage the vines. Strategically placed bird houses throughout the vineyard attract swallows and other birds that dine on insects harmful to the vines. A permanent cover crop between the rows prevents soil erosion, controls vine vigor, discourages unwanted weeds and provides a habitat for beneficial insects. A small herd of goats live in the area around the pond, munching in the non-vineyard areas, providing weed control for us – and entertainment for the neighbors.
A variety of trees, shrubs and other vegetation provides habitat for a wide range of beneficial birds and insects. Our central Insectary attracts beneficial insects to the vineyard, reducing and possibly eliminating the need for insecticides.
Energy Conservation
Puma Springs’ Wind and Solar Photo Voltaic systems, along with our passive solar thermal water heating system minimize the need for non-renewable energy. The Wind and Solar PV array provides power to the irrigation pumps for the vineyard and administrative office, while the passive solar thermal water heating system provides all hot water for the office.
Terroir
Midway between the Alexander and Dry Creek Valleys the vineyard is ideally located on gently sloping hillsides that take advantage of the local microclimate. This spot is ideally suited to growing Bordeaux wine grapes. During the growing season the vineyard sees typically hot days and a cooling evening breeze that burns the fog away each morning earlier than the surrounding valleys. The soil is sandy clay loam.
Today, because of the tireless dedication of our talented team, Puma Springs is a living, thriving, constantly evolving piece of earth that produces some of the finest grapes in Sonoma County. Biodynamics is not only good for the earth and good for the environment; it helps produce exceptional wine grapes.
Cropped: 15 Acres
Total Acreage: 25 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",pumasprings.com/
,"10151 County Road Z
Nekoosa, WI 54457, USA",,"Fruit,Cranberries",20171122,nkarris@wtrm.com,Nekoosa Family Farms,1,,"Green Belle Biodynamic organic cranberries are holistically cultivated and gently harvested on a spring-fed Wisconsin family farm to ensure superior quality and taste. These native American berries are packed with antioxidants; studies show cranberries may improve digestion, reduce infections and lessen certain cancer risks. A wonderful autumn treat-perfect for holiday sauces, relishes, compotes, muffins, breads and smoothies.
Freeze fresh cranberries in the bag for year round availability!","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",vimeo.com/25512160
