acreage,address,business,crops,date,email,link,name,phone,processed_products,profile,state,vineyard,website,winery
,"555 College Avenue
Angwin, CA 94508",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/adamvs,ADAMVS,,,,CA,,,
,"Villa Nueva
Naranjito, Puntarenas",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/alquimia-agricola,Alquimia Agricola,,,,,,,
,"5401 South Wentworth, Unit 19
Chicago, IL 60609",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/good-food-organics,Ambassador Organics,,,,IL,,,
,"510 Sequoia Lane
Templeton, CA 93465",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/ambyth-estate,AmByth Estate,,,,CA,,,
,"312 North Ninth St.
Lompoc, CA 93436",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/ampelos-vineyards,Ampelos Cellars,,,,CA,,,
,"1650 Corporate Circle Suite 200
Petaluma, CA 94955",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/amy-s-kitchen,Amy's Kitchen,,,,CA,,,
,"1931 Route 9
Germantown, NY 12526",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/angello-s-distributing-inc,"Angello's Distributing, Inc.",,,,NY,,,
,"10700 Broadway Road
Moorpark, CA 93021",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/apricot-lane-farms,Apricot Lane Farms,,,,CA,,,
,"3270 W. Post Road
Las Vegas, NV 89118",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/aqueous-labs-inc,"Aqueous Labs, Inc.",,,,NV,,,
,"2155 Pickett Road
Calistoga, CA 94515",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/araujo-estate,Araujo Estate,,,,CA,,,
,"8020 Hygiene Road
Longmont, CO 80503",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/aspen-moon-farm-llc,"Aspen Moon Farm, LLC",,,,CO,,,
,"219 Mill Street
Rockport, ME 04856",,,2014-10-09,,https://web.archive.org/web/20141009050729/http://www.biodynamicfood.org:80/biodynamic/avena-botanicals,Avena Botanicals,,,,ME,,,
