address,contact,date,name,phone
"9851 E Acampo Rd, Acampo, CA 95220",Fax: (209) 369-0444,2013-11-27,Anthony and David Fuso Farms,Phone: (209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2013-11-27,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2013-11-27,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2013-11-27,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2013-11-27,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2013-11-27,"Duarte Nursery, Inc.",(209) 996-2673
"6104 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2013-11-27,Dutra Farms,(209) 369-4558
"
PO Box 505, Clements, CA 95227",goehringvineyard@aol.com,2013-11-27,Goehring Estates,(209) 759-9463 or (209) 609-8280
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2013-11-27,Graffinga Fruit Company,Phone: (209) 481-0464 or
"37375 Netherlands Rd
Clarksburg, CA 95612",,2013-11-27,Heringer Holland Land & Farming,
"10112 E. Woodbridge Rd.
Acampo, CA 95220",Contact: Tom Hoffman,2013-11-27,Hoffman Vineyards,(209) 986 2763
"PO Box 257, Victor, CA 95253",(209) 329-9156,2013-11-27,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2013-11-27,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2013-11-27,Machado Vineyards,(209) 327-2315
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2013-11-27,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",Fax: (209) 334-3668,2013-11-27,Molles Vineyard,Phone: (209) 329-3671
"13852 E Peltier Rd, Acampo, CA 95220",Fax: (209) 727-5702,2013-11-27,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2013-11-27,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2013-11-27,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2013-11-27,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2013-11-27,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2013-11-27,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2013-11-27,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2013-11-27,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2013-11-27,Williams Custom Vineyard,(209) 471-4039
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2016-09-26,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2016-09-26,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2016-09-26,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2016-09-26,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2016-09-26,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2016-09-26,"Duarte Nursery, Inc.",(209) 996-2673
"
PO Box 505, Clements, CA 95227",(209) 609-8280,2016-09-26,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2016-09-26,Graffinga Fruit Company,Phone: (209) 481-0464 or
"18101 E Stampede Rd.
Lodi, CA 95240",,2016-09-26,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2016-09-26,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2016-09-26,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2016-09-26,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2016-09-26,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2016-09-26,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2016-09-26,Molles Vineyard,Phone: (209) 329-3671
"
13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2016-09-26,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2016-09-26,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2016-09-26,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2016-09-26,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2016-09-26,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2016-09-26,S&V Dutra Farms,(209) 369-4558
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2016-09-26,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2016-09-26,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2016-09-26,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2016-09-26,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2016-09-26,Williams Custom Vineyard,(209) 471-4039
"9851 E Acampo Rd
Acampo, CA 95220",fusofarms@hotmail.com,2014-01-28,Anthony & David Fuso Farms,(209) 601-3876
"15362 N. Alpine Road
Lodi, CA 95240",Contact: Jason Eells,2014-01-28,Arbor Vineyards Inc.,209-747-3682
"17777 Liberty Road
Galt, CA 95227",,2014-01-28,Bogle Vineyards,(916) 744-1139
"17303 N. DeVries Rd.
Lodi, CA 95242",Contact: Bettyann Spenker,2014-01-28,Charles Spenker Winery,(209) 368-5746
"10702 E Acampo Road
Acampo, CA 95220",johnlakso@gmail.com,2014-01-28,Cory Ranch,(209) 369-9632 or (209) 327-3546
"23456 E. Flood Road
Linden, CA 95236",Contact: Bernabe Iniguez,2014-01-28,"Duarte Nursery, Inc.",(209) 996-2673
"6104 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2014-01-28,Dutra Farms,(209) 369-4558
"
PO Box 505, Clements, CA 95227",(209) 609-8280,2014-01-28,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2014-01-28,Graffinga Fruit Company,Phone: (209) 481-0464 or
"37375 Netherlands Rd
Clarksburg, CA 95612",,2014-01-28,Heringer Holland Land & Farming,
"10112 E. Woodbridge Rd.
Acampo, CA 95220",Contact: Tom Hoffman,2014-01-28,Hoffman Vineyards,(209) 986 2763
"18101 E Stampede Rd.
Lodi, CA 95240",,2014-01-28,Hunters Oak Vineyard,(209) 334-4338
