Name,Date,Category,Address,Phone,Email,Website,Short description,Description,Crops,Processed products,Cropped_acreage,Total_acreage
Analemma Wines,2018-10-29,Vineyard | Winery  | Farm | ,"1120 State Rd.
Mosier, OR 97040, United States",541-478-2873,drinkwell@analemmawines.com,www.analemmawines.com,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","The Mosier Hills is the home and heart of Analemma. Undulating across a south-facing ridge sculpted by the Missoula Floods, our estate lies within a patchwork of oak and grassland, where cobblestones and glacial sands dominate the landscape. Deep curiosity, observation, and a spirit of exploration guide our efforts in this uncharted terroir.","Fruit, Cherries, Grapes For Wine, Herbs And Spices, Lavender",,Cropped: 35.4 Acres,Total Acreage: 52 Acres
Ampelos Cellars,2018-10-29,Winery | ,"312 North Ninth St.
Lompoc, CA 93436, United States",805-736-9957,info@ampeloscellars.com,ampeloscellars.com,"
           “We did not inherit this land from our fathers– we are borrowing it from our children”
           ","Ampelos is the greek word for vine. Soil. Vines. Wines.  This is the order in which we do business. Waking up from the dream is the real belief that a farmer must know his fruit, and we are resolute in our passion to produce hands on, minimally invasive wines that both whisper and shout about the terroir from which they are grown.  Our vineyard is one of the first to be certified sustainability in practice, organic and biodynamic.  Our commitment to eco-friendly, natural farming and winemaking is evident in every sip.","Fruit, Grapes For Wine",,Cropped: 25 Acres,Total Acreage: 82 Acres
ADAMVS,2018-10-29,,"501 White Cottage Road North
Angwin, CA 94508, United States",707-965-0516,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine",,,
Bearg Ranch Vineyard,2018-10-29,,"3030 Porter Creek Road
Santa Rosa, CA 95404, United States",(707) 537-5040,www.beargranchvineyard.com,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes, Grapes For Wine",,,
Araujo Estate,2018-10-29,Vineyard | Winery | ,"2155 Pickett Road
Calistoga, CA 94515, United States",707-942-6061,wine@araujoestate.com,araujoestate.com,"
           “When the Pinault family acquired the historic Eisele Vineyard in the summer of 2013, the family’s three wine estates in France were already practicing Biodynamic farming.  All four properties are linked by more than worldwide recognition for being jewels of their respective regions, they are linked by a forward-looking, obsessive quest for perfection. Biodynamic farming is a part of this quest.”
           
         ","Since 1971, some of California's most age worthy and intensely flavored Cabernet Sauvignons have been made from grapes grown at the Eisele Vineyard, located on an alluvial fan near the northern end of the Napa Valley, just east of Calistoga. Protected by the Palisades Mountains to the north and cooled by westerly breezes, this 38-acre vineyard is planted on well-drained cobbly soils that produce a low yielding crop of exceptionally concentrated fruit.  Since 1998 we have been committed to farming organically and since 2000 we have employed Biodynamic principles.  For vineyard preparations we grow valerian, horsetail, chamomile, stinging nettles, yarrow and willow, and on our surrounding 120 oak woodland acres we raise Scottish Highland cattle and keep bees.","Fruit, Grapes For Wine, Olives",,Cropped: 38 Acres,Total Acreage: 162 Acres
Beaver Creek Vineyards,2018-10-29,,"22000 Highway 29
Middletown, CA 95461, United States",707-987-1069,wine@beavercreekvineyard.com,www.beavercreekvineyards.com,"
           “Let nature create the wonders, and we will work hard to support and enhance her efforts”
           
         ","Beaver Creek Vineyards is located in Lake County, a truly unique corner of California. With the largest natural freshwater lake entirely in California, appropriately called Clear Lake, this county has been revered for centuries by the native populations of California, who prize the lake and its environs for their healing properties. Mount Konocti, an inactive volcano on the south shore of Clear Lake, gave the Lake County its volcanic soil and helped to create the area's lovely hills full of unspoiled vegetation and flora and its many hot springs, which have been long prized for their healing properties.","Fruit, Grapes For Wine","Wine, Wine Red, Wine Rosé, Wine White",Cropped: 22 Acres,Total Acreage: 185 Acres
Annadel Gap Vineyard,2018-10-29,,"6545 Highway 12
Santa Rosa, CA 95409, United States",707-933-7837,westwoodwine.com/,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",,"Fruit, Grapes For Wine",,,
AmByth Estate,2018-10-29,Vineyard | Farm | Winery | ,"510 Sequoia Lane
Templeton, CA 93465, United States",805-305-9497,mary@ambythestate.com; phillip@ambythestate.com,www.ambythestate.com,"
           “ AmByth Estate,  3 stars (out of 4), Outstanding Rhone Varieties, dry farmed Biodynamic vineyards,  look especially for white blend Priscus and red blend Maiestas”
           ","AmByth Estate (welsh) ""forever"" is owned by a  husband and wife farming and winemaking team in the Paso Robles AVA (CA). We farm our vines, olive trees, and gardens and raise our animals and bees based on Biodynamic principles. We make Demeter certified wine, with zero added sulfites that are aged in amphora, stainless steel and neutral oak. We produce Rhone wines: single varietals and blends (white, orange, rose, and red) and Sangiovese, Tempranillo and Zinfandel.","Fruit, Grapes For Wine, Olives","Wine, Wine Red, Wine Rosé, Wine White",Cropped: 17 Acres,Total Acreage: 42 Acres
Beckmen-Purisima Vineyards,2018-10-29,Vineyard & winery | ,"2065 Via de los Ranchos
Los Olivos, CA 93441, United States",805-688-8664   x211,info@beckmenvineyards.com,www.beckmenvineyards.com/,"
           “Biodynamics allows us to achieve the purest possible expression of our Purisima Mountain Vineyard terroir, which is at the very heart of our winegrowing philosophy. Since we’ve gone biodynamic, we have produced some of our best wines ever.”
           ","We offer an Experience Beckmen Tour daily at 11am and by appointment. You will embark with one of our knowledgeable guides to tour our winemaking facilities and learn how we turn grapes into wine, step into our vineyard to a close-up view of our grapes and find out why they’re Biodynamic, and discover what makes Beckmen Vineyards so unique. The tour finishes in the tasting room where you can sit back, relax, and enjoy one of the best wine country views in the Santa Ynez Valley, overlooking duck ponds and the vineyard. During the wine tasting tour, you will sample six wines. The tour and tasting will last between 45 – 60 minutes and costs $25 ($5 for the tour without the wine tasting). Call us to make a reservation, as space is limited on each tour.","Fruit, Grapes For Wine",,Cropped: 126 Acres,Total Acreage: 365 Acres
Benziger Family Winery,2018-10-29,Winery | ,"1883 London Ranch Road
Glen Ellen, CA 95442, United States",(707) 935-3000,greatwine@benziger.com,www.benziger.com,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”","At Benziger, we’re about three things: family, great wine and healthy vineyards. For more than thirty years we’ve searched Sonoma County for the most distinctive and expressive vineyards. Once found, we tended these sites using certified Biodynamic, organic and sustainable farming methods. The result is a portfolio of authentic and memorable wines.","Fruit, Apples, Apricots, Cherries, Figs, Grapes For Wine, Lemons, Lime, Olives, Peaches, Pears, Persimmon, Plums, Vegetables, Asparagus, Cucumbers, Eggplant, Melons, Pepper Capsicum, Tomatoes, Herbs And Spices, Basil, Chamomile, Medicinal Herbs, Nettle, Parsley, Sage, Thyme, Valerian, Nuts, Walnuts, Legumes, Beans, Fodder And Grassland, Grassland, Other Crops, Other Annual Crops","Oils And Fats, Olive Oil, Wine, Wine Red, Wine Rosé, Wine White",,
